Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1340477,Student loan,Non-federal student loan,Dealing with my lender or servicer,,MI,48187,Web,4/21/2015,4/21/2015,Iowa Student Loan,Closed with explanation,Yes,
1340493,Credit card,,Forbearance / Workout plans,,WI,53081,Referral,4/21/2015,4/23/2015,JPMorgan Chase,Closed with explanation,Yes,
1340485,Debt collection,Auto,Communication tactics,Called outside of 8am-9pm,HI,96706,Web,4/21/2015,4/21/2015,"Vital Solutions, Inc.",Closed with explanation,Yes,
1340492,Credit card,,Other,,FL,33616,Web,4/21/2015,4/21/2015,BB&T Financial,Closed with explanation,Yes,
1340489,Debt collection,,Communication tactics,Frequent or repeated calls,TX,76119,Web,4/21/2015,4/23/2015,Zenith Financial Network Inc,Closed with explanation,Yes,
1340490,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PA,15237,Web,4/21/2015,4/21/2015,The Huntington National Bank,Closed with explanation,Yes,Yes
1340495,Debt collection,Credit card,Taking/threatening an illegal action,Attempted to/Collected exempt funds,MA,1089,Web,4/21/2015,4/21/2015,American Coradius International LLC,Closed with explanation,Yes,Yes
1338911,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NC,28075,Web,4/21/2015,4/21/2015,Bank of America,Closed with non-monetary relief,Yes,
1338904,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,92276,Web,4/21/2015,4/21/2015,Equifax,Closed with explanation,Yes,Yes
1340540,Mortgage,Other mortgage,"Application, originator, mortgage broker",,CA,95821,Phone,4/21/2015,4/24/2015,Bank of America,Closed,Yes,
1340538,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98408,Web,4/21/2015,4/21/2015,Equifax,In progress,Yes,
1340509,Credit card,,Other,,MI,48066,Web,4/21/2015,4/21/2015,JPMorgan Chase,Closed with explanation,Yes,Yes
1340527,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,AZ,85339,Referral,4/21/2015,4/23/2015,JPMorgan Chase,Closed with explanation,Yes,
1338894,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,TN,38112,Web,4/21/2015,4/21/2015,JPMorgan Chase,In progress,Yes,
1338902,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,OK,74129,Web,4/21/2015,4/21/2015,M.A.R.S. Inc.,Closed with explanation,Yes,
1338893,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NC,27249,Web,4/21/2015,4/21/2015,PayPal,Closed with explanation,Yes,Yes
1340510,Student loan,Non-federal student loan,Can't repay my loan,,SC,29059,Web,4/21/2015,4/21/2015,JPMorgan Chase,Closed with explanation,Yes,
1338891,Money transfers,Domestic (US) money transfer,Fraud or scam,,CO,80122,Web,4/21/2015,4/23/2015,Bank of America,Closed with explanation,Yes,Yes
1338900,Student loan,Non-federal student loan,Getting a loan,,FL,32221,Web,4/21/2015,4/21/2015,Wells Fargo,Closed with explanation,Yes,
1338898,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,CA,94561,Web,4/21/2015,4/21/2015,Experian,Closed with explanation,Yes,
1340523,Credit reporting,,Incorrect information on credit report,Account status,WV,25438,Web,4/21/2015,4/24/2015,TransUnion,Closed with explanation,Yes,
1338897,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,SC,29715,Web,4/21/2015,4/21/2015,Wells Fargo,In progress,Yes,
1338895,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt is not mine,TX,75149,Web,4/21/2015,4/21/2015,"Brookshaw Management, LLC",Closed with explanation,Yes,
1340522,Credit reporting,,Incorrect information on credit report,Account status,WV,25438,Web,4/21/2015,4/21/2015,TransUnion,Closed with explanation,Yes,Yes
1340520,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PA,18655,Web,4/21/2015,4/23/2015,"Green Tree Servicing, LLC",In progress,Yes,
1338899,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,OH,44104,Web,4/21/2015,4/21/2015,FCI Lender Services Inc.,In progress,Yes,
1340518,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,33404,Referral,4/21/2015,4/23/2015,Flagstar Bank,In progress,Yes,
1340521,Credit reporting,,Incorrect information on credit report,Account status,WV,25438,Web,4/21/2015,4/21/2015,Experian,Closed with explanation,Yes,Yes
1340537,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98408,Web,4/21/2015,4/23/2015,Experian,Closed with explanation,Yes,
1338910,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,FL,34475,Web,4/21/2015,4/21/2015,Navient,Closed with explanation,Yes,Yes
1340536,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,WA,98408,Web,4/21/2015,4/21/2015,Encore Capital Group,Closed with explanation,Yes,
1338905,Student loan,Non-federal student loan,Dealing with my lender or servicer,,IL,60104,Web,4/21/2015,4/21/2015,Navient,Closed with explanation,Yes,
1340535,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,CT,6516,Web,4/21/2015,4/21/2015,TransUnion,Closed with explanation,Yes,
1338912,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,GA,30152,Web,4/21/2015,4/21/2015,Wells Fargo,Closed with explanation,Yes,
1340539,Credit reporting,,Incorrect information on credit report,Information is not mine,WA,98408,Web,4/21/2015,4/21/2015,TransUnion,Closed with explanation,Yes,
1339401,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,GA,30341,Referral,4/21/2015,4/23/2015,Nationstar Mortgage,Closed with explanation,Yes,
1339074,Credit reporting,,Incorrect information on credit report,Account status,FL,32570,Web,4/21/2015,4/24/2015,Equifax,In progress,Yes,
1338955,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,CT,6052,Web,4/21/2015,4/21/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1338953,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,MD,20772,Web,4/21/2015,4/23/2015,"The CMI Group, Inc.",Closed with non-monetary relief,Yes,
1338927,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,34689,Web,4/21/2015,4/23/2015,"I.C. System, Inc.",Closed with explanation,Yes,
1340865,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,TX,75013,Web,4/21/2015,4/21/2015,"Portfolio Recovery Associates, Inc.",Closed with non-monetary relief,Yes,
1338952,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,33165,Web,4/21/2015,4/23/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1338933,Debt collection,Non-federal student loan,Communication tactics,Frequent or repeated calls,WV,25524,Web,4/21/2015,4/23/2015,Navient,Closed with explanation,Yes,
1338931,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,NV,89123,Web,4/21/2015,4/21/2015,Equifax,In progress,Yes,
1338948,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,CA,93702,Web,4/21/2015,4/23/2015,Encore Capital Group,Closed with non-monetary relief,Yes,
1338945,Credit card,,Other,,VA,22827,Web,4/21/2015,4/23/2015,Discover,Closed with non-monetary relief,Yes,Yes
1338937,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NC,27587,Web,4/21/2015,4/27/2015,"Dynia & Associates, LLC",Closed with explanation,Yes,
1339590,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,LA,70802,Web,4/21/2015,4/21/2015,Nationstar Mortgage,Closed with explanation,Yes,
1339072,Debt collection,Auto,False statements or representation,Attempted to collect wrong amount,VA,22306,Web,4/21/2015,4/21/2015,Navy FCU,In progress,Yes,
1338956,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,CT,6052,Web,4/21/2015,4/21/2015,Encore Capital Group,Closed with non-monetary relief,Yes,
1338957,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,CT,6052,Web,4/21/2015,4/21/2015,TransUnion,Closed with explanation,Yes,
1340556,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NY,11435,Web,4/21/2015,4/21/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
1339061,Bank account or service,Checking account,Deposits and withdrawals,,WA,98275,Web,4/21/2015,4/21/2015,U.S. Bancorp,Closed with explanation,Yes,
1340545,Student loan,Non-federal student loan,Dealing with my lender or servicer,,CA,92376,Web,4/21/2015,4/21/2015,RBS Citizens,Closed with explanation,Yes,Yes
1340555,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NY,11435,Web,4/21/2015,4/21/2015,"Diversified Consultants, Inc.",Closed with explanation,Yes,
1339054,Bank account or service,Checking account,"Account opening, closing, or management",,PA,18954,Phone,4/21/2015,4/23/2015,TD Bank,Closed with explanation,Yes,Yes
1338978,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,MO,64012,Web,4/21/2015,4/21/2015,Wells Fargo,Closed with explanation,Yes,
1338961,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,VA,22015,Referral,4/21/2015,4/23/2015,Bank of America,In progress,Yes,
1338964,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,LA,70815,Web,4/21/2015,4/21/2015,JPMorgan Chase,In progress,Yes,
1338962,Student loan,Non-federal student loan,Can't repay my loan,,MN,55127,Web,4/21/2015,4/21/2015,Navient,Closed with explanation,Yes,
